Время	Канал A	Канал B
(uс)	(mВ)	(mВ)

-21.49240862	3.70833800	3.29630100
-21.46740862	3.49468900	3.27798800
-21.44240862	3.28104000	3.30393100
-21.41740862	3.28104000	3.32529600
-21.39240862	3.49468900	3.34666100
-21.36740862	3.69307800	3.32377000
-21.34240862	3.84568400	3.25509700
-21.31740863	4.13563600	3.25509700
-21.29240863	4.53241300	3.32224400
-21.26740863	4.82236600	3.35276500
-21.24240863	4.94445100	3.34818700
-21.21740863	5.23440300	3.33750500
-21.19240863	5.63118000	3.31614000
-21.16740863	5.69222300	3.32987400
-21.14240864	5.35648800	3.38328600
-21.11740864	5.64644100	3.33903100
-21.09240864	6.50103700	3.19863200
-21.06740864	7.03516000	3.21847100
-21.04240864	7.20302700	3.40159900
-21.01740864	7.06568100	3.43212100
-20.99240865	6.54681900	3.31308700
-20.96740865	6.65364400	3.28104000
-20.94240865	7.38615500	3.33292600
-20.91740865	7.49298000	3.33750500
-20.89240865	6.95885700	3.29782700
-20.86740865	6.92833600	3.25662300
-20.84240865	7.38615500	3.21084100
-20.81740866	7.70662900	3.24288800
-20.79240866	7.92027800	3.34971300
-20.76740866	7.79819300	3.37870800
-20.74240866	7.30985200	3.32377000
-20.71740866	7.30985200	3.33140000
-20.69240866	7.82871400	3.39854700
-20.66740866	7.82871400	3.42143800
-20.64240867	7.30985200	3.40312500
-20.61740867	7.30985200	3.34208300
-20.59240867	7.82871400	3.23831000
-20.56740867	7.84397500	3.21847100
-20.54240867	7.41667600	3.28104000
-20.51740867	6.98937800	3.35123900
-20.49240867	6.59260100	3.42449000
-20.46740868	6.48577600	3.45348500
-20.44240868	6.72994700	3.43212100
-20.41740868	6.95885700	3.40159900
-20.39240868	7.21828800	3.36497400
-20.36740868	7.00463900	3.32377000
-20.34240868	6.33317000	3.28104000
-20.31740869	6.02795700	3.30393100
-20.29240869	6.11952100	3.39549500
-20.26740869	6.02795700	3.40770300
-20.24240869	5.78378700	3.34055700
-20.21740869	5.79904700	3.30087900
-20.19240869	6.04321800	3.28867100
-20.16740869	6.07373900	3.26120100
-20.14240870	5.89061100	3.22152400
-20.11740870	5.49383400	3.21236700
-20.09240870	4.91392900	3.23373200
-20.06740870	4.62397700	3.24288800
-20.04240870	4.68502000	3.23983600
-20.01740870	4.71554100	3.24746700
-19.99240870	4.80710500	3.26272700
-19.96740871	4.39506700	3.30393100
-19.94240871	3.50995000	3.36802600
-19.91740871	3.21999700	3.36802600
-19.89240871	3.58625300	3.30087900
-19.86740871	3.40312500	3.27035800
-19.84240871	2.79269900	3.27646200
-19.81740871	2.25857600	3.27951400
-19.79240872	1.87706000	3.28256600
-19.76740872	1.78549600	3.26425300
-19.74240872	2.02966700	3.22305000
-19.71740872	2.24331600	3.21236700
-19.69240872	2.48748600	3.23068000
-19.66740872	2.38066100	3.24899300
-19.64240873	1.92284200	3.26272700
-19.61740873	1.72445400	3.30545700
-19.59240873	1.78549600	3.37870800
-19.56740873	1.69393200	3.33597900
-19.54240873	1.51080400	3.17726800
-19.51740873	1.29715500	3.15437700
-19.49240873	1.11402800	3.26577900
-19.46740874	1.00720300	3.34818700
-19.44240874	1.03772400	3.39396900
-19.41740874	1.02246400	3.44432900
-19.39240874	0.97668160	3.49163700
-19.36740874	1.19033100	3.43975100
-19.34240874	1.64815000	3.29324900
-19.31740874	1.75497500	3.22152400
-19.29240875	1.49554400	3.23068000
-19.26740875	1.38871900	3.26425300
-19.24240875	1.41924000	3.33140000
-19.21740875	1.34293700	3.32834800
-19.19240875	1.17507000	3.24899300
-19.16740875	0.86985710	3.28104000
-19.14240876	0.47308020	3.42754200
-19.11740876	0.18312780	3.39549500
-19.09240876	0.03052130	3.18795000
-19.06740876	0.04578195	3.16658500
-19.04240876	0.24417040	3.33445200
-19.01740876	0.33573430	3.37870800
-18.99240876	0.36625560	3.30393100
-18.96740877	0.18312780	3.27035800
-18.94240877	-0.15260650	3.27646200
-18.91740877	-0.64094730	3.27951400
-18.89240877	-1.22085200	3.28256600
-18.86740877	-1.61762900	3.26120100
-18.84240877	-1.77023600	3.20931500
-18.81740877	-1.86179900	3.24899300
-18.79240878	-1.89232100	3.37718200
-18.76740878	-1.67867200	3.42601600
-18.74240878	-1.28189500	3.39244300
-18.71740878	-0.94616040	3.37870800
-18.69240878	-0.71725060	3.38176000
-18.66740878	-0.93089970	3.38176000
-18.64240878	-1.60236800	3.37870800
-18.61740879	-1.93810300	3.38786500
-18.59240879	-1.95336300	3.40617800
-18.56740879	-1.51080400	3.43517300
-18.54240879	-0.59516540	3.47485000
-18.51740879	-0.48834080	3.48400700
-18.49240879	-1.23611300	3.46569400
-18.46740880	-1.48028300	3.42601600
-18.44240880	-1.25137300	3.37413000
-18.41740880	-0.90037840	3.31308700
-18.39240880	-0.42729820	3.25051900
-18.36740880	-0.54938340	3.26425300
-18.34240880	-1.25137300	3.35886900
-18.31740880	-1.46502200	3.36802600
-18.29240881	-1.19033100	3.28714400
-18.26740881	-1.08350600	3.31766600
-18.24240881	-1.11402800	3.45806400
-18.21740881	-1.05298500	3.44585500
-18.19240881	-0.94616040	3.27188400
-18.16740881	-0.30521300	3.29172300
-18.14240881	0.83933580	3.49926700
